title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
Learning a Decision Module by Imitating Driver’s Control Behaviors,Junning Huang; Sirui Xie; Jiankai Sun; Qiurui Ma; Chunxiao Liu; Dahua Lin; Bolei Zhou,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/huang21a/huang21a.pdf,,Открыто
Inverting the Pose Forecasting Pipeline with SPF2: Sequential Pointcloud Forecasting for Sequential Pose Forecasting,Xinshuo Weng; Jianren Wang; Sergey Levine; Kris Kitani; Nicholas Rhinehart,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/weng21a/weng21a.pdf,,Открыто
Neuro-Symbolic Program Search for Autonomous Driving Decision Module Design,Jiankai Sun; Hao Sun; Tian Han; Bolei Zhou,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/sun21a/sun21a.pdf,,Открыто
LiRaNet: End-to-End Trajectory Prediction using Spatio-Temporal Radar Fusion,Meet Shah; Zhiling Huang; Ankit Laddha; Matthew Langford; Blake Barber; sida zhang; Carlos Vallespi-Gonzalez; Raquel Urtasun,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/shah21a/shah21a.pdf,,Открыто
DROGON: A Trajectory Prediction Model based on Intention-Conditioned Behavior Reasoning,Chiho Choi; Srikanth Malla; Abhishek Patil; Joon Hee Choi,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/choi21a/choi21a.pdf,,Открыто
CAMPs: Learning Context-Specific Abstractions for Efficient Planning in Factored MDPs,Rohan Chitnis; Tom Silver; Beomjoon Kim; Leslie Kaelbling; Tomas Lozano-Perez,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/chitnis21a/chitnis21a.pdf,,Открыто
Augmenting GAIL with BC for sample efficient imitation learning,Rohit Jena; Changliu Liu; Katia Sycara,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/jena21a/jena21a.pdf,,Открыто
From pixels to legs: Hierarchical learning of quadruped locomotion,Deepali Jain; Ken Caluwaerts; Atil Iscen,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/jain21a/jain21a.pdf,,Открыто
Learning a Decentralized Multi-Arm Motion Planner,Huy Ha; Jingxi Xu; Shuran Song,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ha21a/ha21a.pdf,,Открыто
SelfVoxeLO: Self-supervised LiDAR Odometry with Voxel-based Deep Neural Networks,Yan Xu; Zhaoyang Huang; Kwan-Yee Lin; Xinge Zhu; Jianping Shi; Hujun Bao; Guofeng Zhang; Hongsheng Li,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xu21a/xu21a.pdf,,Открыто
Learning 3D Dynamic Scene Representations for Robot Manipulation,Zhenjia Xu; Zhanpeng He; Jiajun Wu; Shuran Song,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xu21b/xu21b.pdf,,Открыто
CoT-AMFlow: Adaptive Modulation Network with Co-Teaching Strategy for Unsupervised Optical Flow Estimation,Hengli Wang; Rui Fan; Ming Liu,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/wang21a/wang21a.pdf,,Открыто
SAM: Squeeze-and-Mimic Networks for Conditional Visual Driving Policy Learning,Albert Zhao; Tong He; Yitao Liang; Haibin Huang; Guy Van den Broeck; Stefano Soatto,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zhao21a/zhao21a.pdf,,Открыто
Fit2Form: 3D Generative Model for Robot Gripper Form Design,Huy Ha; Shubham Agrawal; Shuran Song,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ha21b/ha21b.pdf,,Открыто
Accelerating Reinforcement Learning with Learned Skill Priors,Karl Pertsch; Youngwoon Lee; Joseph Lim,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/pertsch21a/pertsch21a.pdf,,Открыто
Positive-Unlabeled Reward Learning,Danfei Xu; Misha Denil,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xu21c/xu21c.pdf,,Открыто
GDN: A Coarse-To-Fine (C2F) Representation for End-To-End 6-DoF Grasp Detection,Kuang-Yu Jeng; Yueh-Cheng Liu; Zhe Yu Liu; Jen-Wei Wang; Ya-Liang Chang; Hung-Ting Su; Winston Hsu,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/jeng21a/jeng21a.pdf,,Открыто
Action-based Representation Learning for Autonomous Driving,Yi Xiao; Felipe Codevilla; Christopher Pal; Antonio Lopez,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xiao21a/xiao21a.pdf,,Открыто
Task-Relevant Adversarial Imitation Learning,Konrad Zolna; Scott Reed; Alexander Novikov; Sergio Gómez Colmenarejo; David Budden; Serkan Cabi; Misha Denil; Nando de Freitas; Ziyu Wang,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zolna21a/zolna21a.pdf,,Открыто
SMARTS: An Open-Source Scalable Multi-Agent RL Training School for Autonomous Driving,Ming Zhou; Jun Luo; Julian Villella; Yaodong Yang; David Rusu; Jiayu Miao; Weinan Zhang; Montgomery Alban; IMAN FADAKAR; Zheng Chen; Chongxi Huang; Ying Wen; Kimia Hassanzadeh; Daniel Graves; Zhengbang Zhu; Yihan Ni; Nhat Nguyen; Mohamed Elsayed; Haitham Ammar; Alexander Cowen-Rivers; Sanjeevan Ahilan; Zheng Tian; Daniel Palenicek; Kasra Rezaee; Peyman Yadmellat; Kun Shao; dong chen; Baokuan Zhang; Hongbo Zhang; Jianye Hao; Wulong Liu; Jun Wang,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/zhou21a/zhou21a.pdf,,Открыто
Reconfigurable Voxels: A New Representation for LiDAR-Based Point Clouds,Tai Wang; Xinge Zhu; Dahua Lin,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/wang21b/wang21b.pdf,,Открыто
Learning Object Manipulation Skills via Approximate State Estimation from Real Videos,Vladimír Petrík; Makarand Tapaswi; Ivan Laptev; Josef Sivic,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/petrik21a/petrik21a.pdf,,Открыто
Integrating Egocentric Localization for More Realistic Point-Goal Navigation Agents,Samyak Datta; Oleksandr Maksymets; Judy Hoffman; Stefan Lee; Dhruv Batra; Devi Parikh,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/datta21a/datta21a.pdf,,Открыто
PLOP: Probabilistic Polynomial Objects trajectory Prediction for autonomous driving,Thibault Buhet; Emilie Wirbel; Andrei Bursuc; Xavier Perrotton,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/buhet21a/buhet21a.pdf,,Открыто
Reinforcement Learning with Videos: Combining Offline Observations with Interaction,Karl Schmeckpeper; Oleh Rybkin; Kostas Daniilidis; Sergey Levine; Chelsea Finn,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/schmeckpeper21a/schmeckpeper21a.pdf,,Открыто
Learning Obstacle Representations for Neural Motion Planning,Robin STRUDEL; Ricardo Garcia Pinel; Justin Carpentier; Jean-Paul Laumond; Ivan Laptev; Cordelia Schmid,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/strudel21a/strudel21a.pdf,,Открыто
CLOUD: Contrastive Learning of Unsupervised Dynamics,Jianren Wang; Yujie Lu; Hang Zhao,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/wang21c/wang21c.pdf,,Открыто
Exploratory Grasping: Asymptotically Optimal Algorithms for Grasping Challenging Polyhedral Objects,Michael Danielczuk; Ashwin Balakrishna; Daniel Brown; Ken Goldberg,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/danielczuk21a/danielczuk21a.pdf,,Открыто
Attention-Privileged Reinforcement Learning,Sasha Salter; Dushyant Rao; Markus Wulfmeier; Raia Hadsell; Ingmar Posner,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/salter21a/salter21a.pdf,,Открыто
One Thousand and One Hours: Self-driving Motion Prediction Dataset,John Houston; Guido Zuidhof; Luca Bergamini; Yawei Ye; Long Chen; Ashesh Jain; Sammy Omari; Vladimir Iglovikov; Peter Ondruska,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/houston21a/houston21a.pdf,,Открыто
Recovering and Simulating Pedestrians in the Wild,Ze Yang; Sivabalan Manivasagam; Ming Liang; Bin Yang; Wei-Chiu Ma; Raquel Urtasun,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/yang21a/yang21a.pdf,,Открыто
SoftGym: Benchmarking Deep Reinforcement Learning for Deformable Object Manipulation,Xingyu Lin; Yufei Wang; Jake Olkin; David Held,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/lin21a/lin21a.pdf,,Открыто
S3K: Self-Supervised Semantic Keypoints for Robotic Manipulation via Multi-View Consistency,Mel Vecerik; Jean-Baptiste Regli; Oleg Sushkov; David Barker; Rugile Pevceviciute; Thomas Rothörl; Raia Hadsell; Lourdes Agapito; Jonathan Scholz,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/vecerik21a/vecerik21a.pdf,,Открыто
