title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
Plenaries and keynotes,,,2021,2021 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9636699,10.1109/IROS51168.2021.9636699,Заблокировано
CACRE 2021's Speakers,,,2021,2021 6th [::International::] [::Conference::] on [::Automation::]; Control and [::Robotics::] Engineering (CACRE),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9501285,10.1109/CACRE52464.2021.9501285,Заблокировано
Plenary,,,2021,2021 IEEE [::International::] [::Conference::] on [::Robotics::] and [::Automation::] (ICRA),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9562011,10.1109/ICRA48506.2021.9562011,Заблокировано
Applying Surface Normal Information in Drivable Area and Road Anomaly Detection for Ground Mobile Robots,Hengli Wang; Rui Fan; Yuxiang Sun; Ming Liu,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341340,10.1109/IROS45743.2020.9341340,Заблокировано
Implementation of Dlib Deep Learning Face Recognition Technology,Dujuan Zhang; Jie Li; Zhenfang Shan,,2020,2020 [::International::] [::Conference::] on [::Robots::] & [::Intelligent::] [::System::] (ICRIS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9523885,10.1109/ICRIS52159.2020.00030,Заблокировано
Learning an Uncertainty-Aware Object Detector for Autonomous Driving,Gregory P. Meyer; Niranjan Thakurdesai,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341623,10.1109/IROS45743.2020.9341623,Заблокировано
OmniWheg: An Omnidirectional Wheel-Leg Transformable Robot,Ruixiang Cao; Jun Gu; Chen Yu; Andre Rosendo,,2022,2022 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9982030,10.1109/IROS47612.2022.9982030,Заблокировано
Real-time Detection of Distracted Driving using Dual Cameras,Duy Tran; Ha Manh Do; Jiaxing Lu; Weihua Sheng,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9340921,10.1109/IROS45743.2020.9340921,Заблокировано
A Multi-link In-pipe Inspection Robot Composed of Active and Passive Compliant Joints,Atsushi Kakogawa; Shugen Ma,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341478,10.1109/IROS45743.2020.9341478,Заблокировано
Nonlinear Balance Control of an Unmanned Bicycle: Design and Experiments,Leilei Cui; Shuai Wang; Jie Lai; Xiangyu Chen; Sicheng Yang; Zhengyou Zhang; Zhong-Ping Jiang,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341150,10.1109/IROS45743.2020.9341150,Заблокировано
Organization and Understanding of a Tactile Information Dataset TacAct For Physical Human-Robot Interaction,Peng Wang; Jixiao Liu; Funing Hou; Dicai Chen; Zihou Xia; Shijie Guo,,2021,2021 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9636389,10.1109/IROS51168.2021.9636389,Заблокировано
Human-Drone Interaction for Aerially Manipulated Drilling using Haptic Feedback,Dongbin Kim; Paul Y. Oh,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9340726,10.1109/IROS45743.2020.9340726,Заблокировано
Generating Minimum-Snap Quadrotor Trajectories Really Fast,Declan Burke; Airlie Chapman; Iman Shames,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341794,10.1109/IROS45743.2020.9341794,Заблокировано
Automatic Targetless Extrinsic Calibration of Multiple 3D LiDARs and Radars,Lionel Heng,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9340866,10.1109/IROS45743.2020.9340866,Заблокировано
Hybrid aerial-ground locomotion with a single passive wheel,Youming Qin; Yihang Li; Xu Wei; Fu Zhang,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341577,10.1109/IROS45743.2020.9341577,Заблокировано
GelSight Svelte: A Human Finger-Shaped Single-Camera Tactile Robot Finger with Large Sensing Coverage and Proprioceptive Sensing,Jialiang Zhao; Edward H. Adelson,,2023,2023 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10341646,10.1109/IROS55552.2023.10341646,Заблокировано
An Untethered 216-mg Insect-Sized Jumping Robot with Wireless Power Transmission,Riccy Kurniawan; Tamaki Fukudome; Hao Qiu; Makoto Takamiya; Yoshihiro Kawahara; Jinkyu Yang; Ryuma Niiyama,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341238,10.1109/IROS45743.2020.9341238,Заблокировано
Brainless Running: A Quasi-quadruped Robot with Decentralized Spinal Reflexes by Solely Mechanical Devices,Yoichi Masuda; Kazuhiro Miyashita; Kaisei Yamagishi; Masato Ishikawa; Koh Hosoda,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9340807,10.1109/IROS45743.2020.9340807,Заблокировано
Optimal Robot Motion Planning in Constrained Workspaces Using Reinforcement Learning,Panagiotis Rousseas; Charalampos P. Bechlioulis; Kostas J. Kyriakopoulos,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9341148,10.1109/IROS45743.2020.9341148,Заблокировано
Silicone-based Capacitive E-skin for Exteroception and Proprioception,Abu Bakar Dawood; Hareesh Godaba; Ahmad Ataka; Kaspar Althoefer,,2020,2020 IEEE/RSJ [::International::] [::Conference::] on [::Intelligent::] [::Robots::] and [::Systems::] (IROS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9340945,10.1109/IROS45743.2020.9340945,Заблокировано
