title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status
Stein Variational Ergodic Search,Darrick Lee; Cameron Lerch; Fabio Ramos; Ian Abraham,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p001.pdf,,Открыто
Parallel and Proximal Linear-Quadratic Methods for Real-Time Constrained Model-Predictive Control,Wilson Jallet; Ewen Dantec; Etienne Arlaud; Nicolas Mansard; Justin Carpentier,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p002.pdf,,Открыто
Differentiable Robust Model Predictive Control,Alex Oshin; Hassan Almubarak; Evangelos Theodorou,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p003.pdf,,Открыто
Computation-Aware Learning for Stable Control with Gaussian Process,Wenhan Cao; Alexandre Capone; Rishabh Yadav; Sandra Hirche; Wei Pan,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p004.pdf,,Открыто
Decentralized Multi-Robot Line-of-Sight Connectivity Maintenance under Uncertainty,Yupeng Yang; Yiwei Lyu; Yanze Zhang; Sha Yi; Wenhao Luo,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p005.pdf,,Открыто
Hamilton-Jacobi Reachability Analysis for Hybrid Systems with Controlled and Forced Transitions,Javier Borquez; Shuang Peng; Yiyu Chen; Quan Nguyen; Somil Bansal,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p006.pdf,,Открыто
JIGGLE: An Active Sensing Framework for Boundary Parameters Estimation in Deformable Surgical Environments,Nikhil Uday Shinde; Xiao Liang; Fei Liu; Yutong Zhang; Florian Richter; Sylvia Lee Herbert; Michael C. Yip,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p007.pdf,,Открыто
Conformalized Teleoperation: Confidently Mapping Human Inputs to High-Dimensional Robot Actions,Michelle D Zhao; Reid Simmons; Henny Admoni; Andrea Bajcsy,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p008.pdf,,Открыто
Optimal Non-Redundant Manipulator Surface Coverage with Rank-Deficient Manipulability Constraints,Tong Yang; Li Huang; Jaime Valls Miro; Yue Wang; Rong Xiong,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p009.pdf,,Открыто
AdaptiGraph: Material-Adaptive Graph-Based Neural Dynamics for Robotic Manipulation,Kaifeng Zhang; Baoyu Li; Kris Hauser; Yunzhu Li,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p010.pdf,,Открыто
Human-oriented Representation Learning for Robotic Manipulation,Mingxiao Huo; Mingyu Ding; Chenfeng Xu; Thomas Tian; Xinghao Zhu; Yao Mu; Lingfeng Sun; Masayoshi Tomizuka; Wei Zhan,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p011.pdf,,Открыто
Dynamic On-Palm Manipulation via Controlled Sliding,William Yang; Michael Posa,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p012.pdf,,Открыто
Efficient Data Collection for Robotic Manipulation via Compositional Generalization,Jensen Gao; Annie Xie; Ted Xiao; Chelsea Finn; Dorsa Sadigh,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p013.pdf,,Открыто
Demonstrating Learning from Humans on Open-Source Dexterous Robot Hands,Kenneth Shaw; Ananye Agarwal; Shikhar Bahl; Mohan Kumar Srirama; Alexandre Kirchmeyer; Aditya Kannan; Aravind Sivakumar; Deepak Pathak,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p014.pdf,,Открыто
Reconciling Reality through Simulation: A Real-To-Sim-to-Real Approach for Robust Manipulation,Marcel Torne Villasevil; Anthony Simeonov; Zechu Li; April Chan; Tao Chen; Abhishek Gupta; Pulkit Agrawal,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p015.pdf,,Открыто
SAGE: Bridging Semantic and Actionable Parts for GEneralizable Articulated-Object Manipulation under Language Instructions,Haoran Geng; Songlin Wei; Congyue Deng; Bokui Shen; He Wang; Leonidas Guibas,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p016.pdf,,Открыто
Demonstrating Event-Triggered Investigation and Sample Collection for Human Scientists using Field Robots and Large Foundation Models,Tirthankar Bandyopadhyay; Fletcher Talbot; Callum Bennie; Hashini Senaratne; Xun Li; Brendan Tidd; Mingze Xi; Jan Stiefel; Volkan Dedeoglu; Rod Taylor; Tea Molnar; Ziwei Wang; Josh Pinskier; Feng Xu; Lois Liow; Ben Burgess-Limerick; Jesse Haviland; Pavan Sikka; Simon Murrell; Jane Hodgkinson; Jiajun Liu; Fred Pauling; Stanislav Funiak,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p017.pdf,,Открыто
CraterGrader: Autonomous Robotic Terrain Manipulation for Lunar Site Preparation and Earthmoving,Ryan Lee; Benjamin Younes; Alexander Pletta; John Harrington; Russell Q. Wong; William Whittaker,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p018.pdf,,Открыто
POAM: Probabilistic Online Attentive Mapping for Efficient Robotic Information Gathering,Weizhe Chen; Lantao Liu; Roni Khardon,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p019.pdf,,Открыто
Blending Data-Driven Priors in Dynamic Games,Justin Lidard; Haimin Hu; Asher Hancock; Zixu Zhang; Albert Gimo Contreras; Vikash Modi; Jonathan DeCastro; Deepak Gopinath; Guy Rosman; Naomi Leonard; Maria Santos; Jaime FernÃ¡ndez Fisac,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p020.pdf,,Открыто
Demonstrating HOUND: A Low-cost Research Platform for High-speed Off-road Underactuated Nonholonomic Driving,Sidharth Talia; Matthew Schmittle; Alexander Lambert; Alexander Spitzer; Christoforos Mavrogiannis; Siddhartha Srinivasa,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p021.pdf,,Открыто
