title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status,abstract
Learning a Decision Module by Imitating Driver’s Control Behaviors,Junning Huang; Sirui Xie; Jiankai Sun; Qiurui Ma; Chunxiao Liu; Dahua Lin; Bolei Zhou,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/huang21a/huang21a.pdf,,Открыто,Autonomous driving systems have a pipeline of perception; decision; planning; and control. The decision module processes information from the perception module and directs the execution of downstream planning and control modules. On the other hand; the recent success of deep learning suggests that this pipeline could be replaced by end-to-end neural control policies; however; safety cannot be well guaranteed for the data-driven neural networks. In this work; we propose a hybrid framework to learn neural decisions in the classical modular pipeline through end-to-end imitation learning.  This hybrid framework can preserve the merits of the classical pipeline such as the strict enforcement of physical and logical constraints while learning complex driving decisions from data. To circumvent the ambiguous annotation of human driving decisions; our method learns high-level driving decisions by imitating low-level control behaviors. We show in the simulation experiments that our modular driving agent can generalize its driving decision and control to various complex scenarios where the rule-based programs fail. It can also generate smoother and safer driving trajectories than end-to-end neural policies. Demo and code are available at https://decisionforce.github.io/modulardecision/.
Inverting the Pose Forecasting Pipeline with SPF2: Sequential Pointcloud Forecasting for Sequential Pose Forecasting,Xinshuo Weng; Jianren Wang; Sergey Levine; Kris Kitani; Nicholas Rhinehart,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/weng21a/weng21a.pdf,,Открыто,Many autonomous systems forecast aspects of the future in order to aid decision-making. For example; self-driving vehicles and robotic manipulation systems often forecast future object poses by first detecting and tracking objects. However; this detect-then-forecast pipeline is expensive to scale; as pose forecasting algorithms typically require labeled sequences of object poses; which are costly to obtain in 3D space. Can we scale performance without requiring additional labels? We hypothesize yes; and propose inverting the detect-then-forecast pipeline. Instead of detecting; tracking and then forecasting the objects; we propose to first forecast 3D sensor data (e.g.; point clouds with $100$k points) and then detect/track objects on the predicted point cloud sequences to obtain future poses; i.e.; a forecast-then-detect pipeline. This inversion makes it less expensive to scale pose forecasting; as the sensor data forecasting task requires no labels. Part of this work’s focus is on the challenging first step – Sequential Pointcloud Forecasting (SPF); for which we also propose an effective approach; SPFNet. To compare our forecast-then-detect pipeline relative to the detect-then-forecast pipeline; we propose an evaluation procedure and two metrics. Through experiments on a robotic manipulation dataset and two driving datasets; we show that SPFNet is effective for the SPF task; our forecast-then-detect pipeline outperforms the detect-then-forecast approaches to which we compared; and that pose forecasting performance improves with the addition of unlabeled data. Our project website is http://www.xinshuoweng.com/projects/SPF2
Neuro-Symbolic Program Search for Autonomous Driving Decision Module Design,Jiankai Sun; Hao Sun; Tian Han; Bolei Zhou,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/sun21a/sun21a.pdf,,Открыто,As a promising topic in cognitive robotics; neuro-symbolic modeling integrates symbolic reasoning and neural representation altogether. However; previous neuro-symbolic models usually wire their structures and the connections manually; making the underlying parameters sub-optimal. In this work; we propose the Neuro-Symbolic Program Search (NSPS) to improve the autonomous driving system design. NSPS is a novel automated search method that synthesizes the Neuro-Symbolic Programs. It can produce robust and expressive Neuro-Symbolic Programs and automatically tune the hyper-parameters. We validate NSPS in the CARLA driving simulation environment. The resulting Neuro-Symbolic Decision Programs successfully handle multiple traffic scenarios. Compared with previous neural-network-based driving and rule-based methods; our neuro-symbolic driving pipeline achieves more stable and safer behaviors in complex driving scenarios while maintaining an interpretable symbolic decision-making process.
LiRaNet: End-to-End Trajectory Prediction using Spatio-Temporal Radar Fusion,Meet Shah; Zhiling Huang; Ankit Laddha; Matthew Langford; Blake Barber; sida zhang; Carlos Vallespi-Gonzalez; Raquel Urtasun,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/shah21a/shah21a.pdf,,Открыто,In this paper; we present LiRaNet; a novel end-to-end trajectory prediction method which utilizes radar sensor information along with widely used lidar and HD maps. Automotive radar provides rich; complementary information; allowing for longer range vehicle detection as well as instantaneous radial velocity measurements. However; there are factors that make the fusion of lidar and radar information challenging; such as the relatively low angular resolution of radar measurements; their sparsity and the lack of exact time synchronization with lidar. To overcome these challenges; we propose an efficient spatio-temporal radar feature extraction scheme which achieves state-of-the-art performance on multiple large-scale datasets. Further; by incorporating radar information; we show a 52% reduction in prediction error for objects with high acceleration and a 16% reduction in prediction error for objects at longer range.
DROGON: A Trajectory Prediction Model based on Intention-Conditioned Behavior Reasoning,Chiho Choi; Srikanth Malla; Abhishek Patil; Joon Hee Choi,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/choi21a/choi21a.pdf,,Открыто,We propose a Deep RObust Goal-Oriented trajectory prediction Network (DROGON) for accurate vehicle trajectory prediction by considering behavioral intentions of vehicles in traffic scenes. Our main insight is that the behavior (i.e.; motion) of drivers can be reasoned from their high level possible goals (i.e.; intention) on the road. To succeed in such behavior reasoning; we build a conditional prediction model to forecast goal-oriented trajectories with the following stages: (i) relational inference where we encode relational interactions of vehicles using the perceptual context; (ii) intention estimation to compute the probability distributions of intentional goals based on the inferred relations; and (iii) behavior reasoning where we reason about the behaviors of vehicles as trajectories conditioned on the intentions. To this end; we extend the proposed framework to the pedestrian trajectory prediction task; showing the potential applicability toward general trajectory prediction.
CAMPs: Learning Context-Specific Abstractions for Efficient Planning in Factored MDPs,Rohan Chitnis; Tom Silver; Beomjoon Kim; Leslie Kaelbling; Tomas Lozano-Perez,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/chitnis21a/chitnis21a.pdf,,Открыто,Meta-planning; or learning to guide planning from experience; is a promising approach to improving the computational cost of planning. A general meta-planning strategy is to learn to impose constraints on the states considered and actions taken by the agent. We observe that (1) imposing a constraint can induce context-specific independences that render some aspects of the domain irrelevant; and (2) an agent can take advantage of this fact by imposing constraints on its own behavior. These observations lead us to propose the context-specific abstract Markov decision process (CAMP); an abstraction of a factored MDP that affords efficient planning. We then describe how to learn constraints to impose so the CAMP optimizes a trade-off between rewards and computational cost. Our experiments consider five planners across four domains; including robotic navigation among movable obstacles (NAMO); robotic task and motion planning for sequential manipulation; and classical planning. We find planning with learned CAMPs to consistently outperform baselines; including Stilman’s NAMO-specific algorithm. Video: https://youtu.be/wTXt6djcAd4 Code: https://git.io/JTnf6
Augmenting GAIL with BC for sample efficient imitation learning,Rohit Jena; Changliu Liu; Katia Sycara,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/jena21a/jena21a.pdf,,Открыто,Imitation learning is the problem of recovering an expert policy without access to a reward signal. Behavior cloning and GAIL are two widely used methods for performing imitation learning. Behavior cloning converges in a few iterations; but doesn’t achieve peak performance due to its inherent iid assumption about the state-action distribution. GAIL addresses the issue by accounting for the temporal dependencies when performing a state distribution matching between the agent and the expert. Although GAIL is sample efficient in the number of expert trajectories required; it is still not very sample efficient in terms of the environment interactions needed for convergence of the policy. Given the complementary benefits of both methods; we present a simple and elegant method to combine both methods to enable stable and sample efficient learning. Our algorithm is very simple to implement and integrates with different policy gradient algorithms. We demonstrate the effectiveness of the algorithm in low dimensional control tasks; gridworlds and in high dimensional image-based tasks.
From pixels to legs: Hierarchical learning of quadruped locomotion,Deepali Jain; Ken Caluwaerts; Atil Iscen,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/jain21a/jain21a.pdf,,Открыто,Legged robots navigating crowded scenes and complex terrains in the real world are required to execute dynamic leg movements while processing visual input for obstacle avoidance and path planning. We show that a quadruped robot can acquire both of these skills by means of hierarchical reinforcement learning (HRL). By virtue of their hierarchical structure; our policies learn to implicitly break down this joint problem by concurrently learning High Level (HL) and Low Level (LL) neural network policies. These two levels are connected by a low dimensional hidden layer; which we call latent command. HL receives a first-person camera view; whereas LL receives the latent command from HL and the robot’s on-board sensors to control its actuators. We train policies to walk in two different environments: a curved cliff and a maze. We show that hierarchical policies can concurrently learn to locomote and navigate in these environments; and show they are more efficient than non-hierarchical neural network policies. This architecture also allows for knowledge reuse across tasks. LL networks trained on one task can be transferred to a new task in a new environment. Finally HL; which processes camera images; can be evaluated at much lower and varying frequencies compared to LL; thus reducing computation times and bandwidth requirements.
Learning a Decentralized Multi-Arm Motion Planner,Huy Ha; Jingxi Xu; Shuran Song,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/ha21a/ha21a.pdf,,Открыто,We present a closed-loop multi-arm motion planner that is scalable and flexible with team size. Traditional multi-arm robotic systems have relied on centralized motion planners; whose run times often scale exponentially with team size; and thus; fail to handle dynamic environments with open-loop control. In this paper; we tackle this problem with multi-agent reinforcement learning; where a shared policy network is trained to control each individual robot arm to reach its target end-effector pose given observations of its workspace state and target end-effector pose. The policy is trained using Soft Actor-Critic with expert demonstrations from a sampling-based motion planning algorithm (i.e.; BiRRT). By leveraging classical planning algorithms; we can improve the learning efficiency of the reinforcement learning algorithm while retaining the fast inference time of neural networks. The resulting policy scales sub-linearly and can be deployed on multi-arm systems with variable team sizes. Thanks to the closed-loop and decentralized formulation; our approach generalizes to 5-10 multiarm systems and dynamic moving targets (>90% success rate for a 10-arm system); despite being trained on only 1-4 arm planning tasks with static targets.
SelfVoxeLO: Self-supervised LiDAR Odometry with Voxel-based Deep Neural Networks,Yan Xu; Zhaoyang Huang; Kwan-Yee Lin; Xinge Zhu; Jianping Shi; Hujun Bao; Guofeng Zhang; Hongsheng Li,,2020,Conference on Robot Learning,https://proceedings.mlr.press/v155/xu21a/xu21a.pdf,,Открыто,Recent learning-based LiDAR odometry methods have demonstrated their competitiveness. However; most methods still face two substantial challenges: 1) the 2D projection representation of LiDAR data cannot effectively encode 3D structures from the point clouds; 2) the needs for a large amount of labeled data for training limit the application scope of these methods. In this paper; we propose an self-supervised LiDAR odometry method; dubbed SelfVoxeLO; to tackle these two difficulties. Specifically; we propose a 3D convolution network to process the raw LiDAR data directly; which extracts features that better encode the 3D geometric patterns. To suit our network to self-supervised learning; we design several novel loss functions that utilize the inherent properties of LiDAR point clouds. Moreover; an uncertainty-aware mechanism is incorporated in the loss functions to alleviate the interference of moving objects/noises. We evaluate our method’s performances on two large-scale datasets; ie; KITTI and Apollo-SouthBay.Our method outperforms state-of-the-art unsupervised methods by 27%-32% in terms of translational/rotational errors on the KITTI dataset and also performs well on the Apollo-SouthBay dataset. By including more unlabelled training data; our method can further improve performance comparable to the supervised methods.
