title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status,abstract
Stein Variational Ergodic Search,Darrick Lee; Cameron Lerch; Fabio Ramos; Ian Abraham,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p001.pdf,,Открыто,Exploration requires that robots reason about numerous ways to cover a space in response to dynamically changing conditions. However; in continuous domains there are potentially infinitely many options for robots to explore which can prove computationally challenging. How then should a robot efficiently optimize and choose exploration strategies to adopt? In this work; we explore this question through the use of variational inference to efficiently solve for distributions of coverage trajectories. Our approach leverages ergodic search methods to optimize coverage trajectories in continuous time and space. In order to reason about distributions of trajectories; we formulate ergodic search as a probabilistic inference problem. We propose to leverage Stein variational methods to approximate a posterior distribution over ergodic trajectories through parallel computation. As a result; it becomes possible to efficiently optimize distributions of feasible coverage trajectories for which robots can adapt exploration. We demonstrate that the proposed Stein variational ergodic search approach facilitates efficient identification of multiple coverage strategies and show online adaptation in a model-predictive control formulation. Simulated and physical experiments demonstrate adaptability and diversity in exploration strategies online.
Parallel and Proximal Linear-Quadratic Methods for Real-Time Constrained Model-Predictive Control,Wilson Jallet; Ewen Dantec; Etienne Arlaud; Nicolas Mansard; Justin Carpentier,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p002.pdf,,Открыто,Recent strides in model predictive control (MPC) underscore a dependence on numerical advancements to efficiently and accurately solve large-scale problems. Given the substantial number of variables characterizing typical whole-body optimal control problems —often numbering in the thousands— exploiting the sparse structure of the numerical problem becomes crucial to meet computational demands; typically in the range of a few milliseconds. A fundamental building block for computing Newton or Sequential Quadratic Programming steps in direct optimal control methods involves addressing the linear-quadratic regulator (LQR) problem. This paper concentrates on equality-constrained problems featuring implicit system dynamics and dual regularization; a characteristic found in advanced interior-point or augmented-Lagrangian solvers. Here; we introduce a parallel algorithm designed for solving an LQR problem with dual regularization. Leveraging a rewriting of the LQR recursion through block elimination; we first enhanced the efficiency of the serial algorithm; then subsequently generalized to handle parametric LQR. This extension enables us to split decision variables and to solve several subproblems concurrently. Our algorithm is implemented (and will be released in open source) in a nonlinear constrained implicit optimal control solver. It showcases improved performance over previous serial formulations and we validate its efficacy by deploying it in the model predictive control of a real quadruped robot.
Differentiable Robust Model Predictive Control,Alex Oshin; Hassan Almubarak; Evangelos Theodorou,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p003.pdf,,Открыто,Deterministic model predictive control (MPC); while powerful; is often insufficient for effectively controlling autonomous systems in the real-world. Factors such as environmental noise and model error can cause deviations from the expected nominal performance. Robust MPC algorithms aim to bridge this gap between deterministic and uncertain control. However; these methods are often excessively difficult to tune for robustness due to the nonlinear and non-intuitive effects that controller parameters have on performance. To address this challenge; we first present a unifying perspective on differentiable optimization for control using the implicit function theorem (IFT); from which existing state-of-the art methods can be derived. Drawing parallels with differential dynamic programming; the IFT enables the derivation of an efficient differentiable optimal control framework. The derived scheme is subsequently paired with a tube-based MPC architecture to facilitate the automatic and real-time tuning of robust controllers in the presence of large uncertainties and disturbances. The proposed algorithm is benchmarked on multiple nonlinear robotic systems; including two systems in the MuJoCo simulator environment and one hardware experiment on the Robotarium testbed; to demonstrate its efficacy.
Computation-Aware Learning for Stable Control with Gaussian Process,Wenhan Cao; Alexandre Capone; Rishabh Yadav; Sandra Hirche; Wei Pan,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p004.pdf,,Открыто,In Gaussian Process (GP) dynamical model learning for robot control; particularly for systems constrained by computational resources like small quadrotors equipped with low-end processors; analyzing stability and designing a stable controller present significant challenges. This paper distinguishes between two types of uncertainty within the posteriors of GP dynamical models: the well-documented mathematical uncertainty stemming from limited data and computational uncertainty arising from constrained computational capabilities; which has been largely overlooked in prior research. Our work demonstrates that computational uncertainty; quantified through a probabilistic approximation of the inverse covariance matrix in GP dynamical models; is essential for stable control under computational constraints. We show that incorporating computational uncertainty can prevent overestimating the region of attraction; a safe subset of the state space with asymptotic stability; thus improving system safety. Building on these insights; we propose an innovative controller design methodology that integrates computational uncertainty within a second-order cone programming framework. Simulations of canonical stable control tasks and experiments of quadrotor tracking exhibit the effectiveness of our method under computational constraints.
Decentralized Multi-Robot Line-of-Sight Connectivity Maintenance under Uncertainty,Yupeng Yang; Yiwei Lyu; Yanze Zhang; Sha Yi; Wenhao Luo,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p005.pdf,,Открыто,In this paper; we propose a novel decentralized control method to maintain Line-of-Sight connectivity for multi-robot networks in the presence of Guassian-distributed localization uncertainty. In contrast to most existing work that assumes perfect positional information about robots or enforces overly restrictive rigid formation against uncertainty; our method enables robots to preserve Line-of-Sight connectivity with high probability under unbounded Gaussian-like positional noises while remaining minimally intrusive to the original robots’ tasks. This is achieved by a motion coordination framework that jointly optimizes the set of existing Line-of-Sight edges to preserve and control revisions to the nominal task-related controllers; subject to the safety constraints and the corresponding composition of uncertainty-aware Line-of-Sight control constraints. Such compositional control constraints; expressed by our novel notion of probabilistic Line-of-Sight connectivity barrier certificates (PrLOS-CBC) for pairwise robots using control barrier functions; explicitly characterize the deterministic admissible control space for the two robots. The resulting motion ensures Line-of-Sight connectedness for the robot team with high probability. Furthermore; we propose a fully decentralized algorithm that decomposes the motion coordination framework by interleaving the composite constraint specification and solving for the resulting optimization-based controllers. The optimality of our approach is justified by the theoretical proofs. Simulation and real-world experiments results are given to demonstrate the effectiveness of our method.
Hamilton-Jacobi Reachability Analysis for Hybrid Systems with Controlled and Forced Transitions,Javier Borquez; Shuang Peng; Yiyu Chen; Quan Nguyen; Somil Bansal,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p006.pdf,,Открыто,Hybrid dynamical systems with nonlinear dynamics are one of the most general modeling tools for representing robotic systems; especially contact-rich systems. However; providing guarantees regarding the safety or performance of nonlinear hybrid systems remains a challenging problem because it requires simultaneous reasoning about continuous state evolution and discrete mode switching. In this work; we address this problem by extending classical Hamilton-Jacobi (HJ) reachability analysis; a formal verification method for continuous-time nonlinear dynamical systems; to hybrid dynamical systems. We characterize the reachable sets for hybrid systems through a generalized value function defined over discrete and continuous states of the hybrid system. We also provide a numerical algorithm to compute this value function and obtain the reachable set. Our framework can compute reachable sets for hybrid systems consisting of multiple discrete modes; each with its own set of nonlinear continuous dynamics; discrete transitions that can be directly commanded or forced by a discrete control input; while still accounting for control bounds and adversarial disturbances in the state evolution. Along with the reachable set; the proposed framework also provides an optimal continuous and discrete controller to ensure system safety. We demonstrate our framework in several simulation case studies; as well as on a real-world testbed to solve the optimal mode planning problem for a quadruped with multiple gaits.
JIGGLE: An Active Sensing Framework for Boundary Parameters Estimation in Deformable Surgical Environments,Nikhil Uday Shinde; Xiao Liang; Fei Liu; Yutong Zhang; Florian Richter; Sylvia Lee Herbert; Michael C. Yip,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p007.pdf,,Открыто,Surgical automation can improve the accessibility and consistency of life-saving procedures. Most surgeries require separating layers of tissue to access the surgical site; and suturing to re-attach incisions. These tasks involve deformable manipula- tion to safely identify and alter tissue attachment (boundary) topology. Due to poor visual acuity and frequent occlusions; surgeons tend to carefully manipulate the tissue in ways that enable inference of the tissue’s attachment points without causing unsafe tearing. In a similar fashion; we propose JIGGLE; a framework for estimation and interactive sensing of unknown boundary parameters in deformable surgical environments. This framework has two key components: (1) a probabilistic estimation to identify the current attachment points; achieved by integrating a differentiable soft-body simulator with an extended Kalman filter (EKF); and (2) an optimization-based active control pipeline that generates actions to maximize information gain of the tissue attachments; while simultaneously minimizing safety costs. The robustness of our estimation approach is demonstrated through experiments with real animal tissue; where we infer sutured attachment points using stereo endoscope observations. We also demonstrate the capabilities of our method in handling complex topological changes such as cutting and suturing.
Conformalized Teleoperation: Confidently Mapping Human Inputs to High-Dimensional Robot Actions,Michelle D Zhao; Reid Simmons; Henny Admoni; Andrea Bajcsy,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p008.pdf,,Открыто,Assistive robotic arms often have more degrees-of-freedom than a human teleoperator can control with a low-dimensional input; like a joystick. To overcome this challenge; existing approaches use data-driven methods to learn a mapping from low-dimensional human inputs to high-dimensional robot actions. However; determining if such a black-box mapping can confidently infer a user's intended high-dimensional action from low-dimensional inputs remains an open problem. Our key idea is to adapt the assistive map at training time to additionally estimate high-dimensional action quantiles; and then calibrate these quantiles via rigorous uncertainty quantification methods. Specifically; we leverage adaptive conformal prediction which adjusts the intervals over time; reducing the uncertainty bounds when the mapping is performant and increasing the bounds when the mapping consistently mis-predicts. Furthermore; we propose an uncertainty-interval-based mechanism for detecting high-uncertainty user inputs and robot states. We evaluate the efficacy of our proposed approach in a 2D assistive navigation task and two 7DOF Kinova Jaco tasks involving assistive cup grasping and goal reaching. Our findings demonstrate that conformalized assistive teleoperation manages to detect (but not differentiate between) high uncertainty induced by diverse preferences and induced by low-precision trajectories in the mapping's training dataset. On the whole; we see this work as a key step towards enabling robots to quantify their own uncertainty and proactively seek intervention when needed.
Optimal Non-Redundant Manipulator Surface Coverage with Rank-Deficient Manipulability Constraints,Tong Yang; Li Huang; Jaime Valls Miro; Yue Wang; Rong Xiong,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p009.pdf,,Открыто,"A generalised solver for the manipulator non-revisiting coverage path planning (NCPP) problem is proposed in this paper. Nonlinear manipulator kinematics and the imposition of task-specific constraints dictate that applying conventional coverage path planning (CPP) solutions based on 2D template matching or cellular decomposition schemes on the target surface invariably results in truncated end-effector motions. Likewise; coverage paths designed directly in joint-space cannot ensure re-occurrences will not arise. More recent SOTA works have proposed finite-step optimal NCPP solutions where singularities are however expressly disregarded. Directly incorporating singular configurations violates the local bijectivity and finite-to-one property in the kinematic mapping; and cannot be properly modelled within existing schemes. This work leverages ""valid'' singularities; those that exhibit sufficient manoeuvrability in suitable dimensions to allow continuation of the tracking motion; thus further reducing the number of posture reconfigurations. The scheme assumes a generic representation of surfaces as discrete meshes; symbolising a null probability to locate the points corresponding to valid but singular inverse kinematic configurations; and constructs a practical method to traverse a singularity without explicitly calculating it. Simulated and realistic experiments are carried out where the suitability of the scheme to reduce posture reconfigurations and achieve continuous coverage motions are compared with existing methods. Three scenarios have been examined whereby the planner is able to fulfil motions without discontinuities in all instances."
AdaptiGraph: Material-Adaptive Graph-Based Neural Dynamics for Robotic Manipulation,Kaifeng Zhang; Baoyu Li; Kris Hauser; Yunzhu Li,,2024,Robotics: Science and Systems,https://www.roboticsproceedings.org/rss20/p010.pdf,,Открыто,Predictive models are a crucial component of many robotic systems. Yet; constructing accurate predictive models for a variety of deformable objects; especially those with unknown physical properties; remains a significant challenge. This paper introduces AdaptiGraph; a learning-based dynamics modeling approach that enables robots to predict; adapt to; and control a wide array of challenging deformable materials with unknown physical properties. AdaptiGraph leverages the highly flexible graph-based neural dynamics (GBND) framework; which represents material bits as particles and employs a graph neural network (GNN) to predict particle motion. Its key innovation is a unified physical property-conditioned GBND model capable of predicting the motions of diverse materials with varying physical properties without retraining. Upon encountering new materials during online deployment; AdaptiGraph utilizes a physical property optimization process for a few-shot adaptation of the model; enhancing its fit to the observed interaction data. The adapted models can precisely simulate the dynamics and predict the motion of various deformable materials; such as ropes; granular media; rigid boxes; and cloth; while adapting to different physical properties; including stiffness; granular size; and center of pressure. On prediction and manipulation tasks involving a diverse set of real-world deformable objects; our method exhibits superior prediction accuracy and task proficiency over non-material-conditioned and non-adaptive models.
