title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status,abstract,article_number,source,conference_code,publication_type
Shape reconstruction of CCD camera-based soft tactile sensors,Gabor Soter; Helmut Hauser; Andrew Conn; Jonathan Rossiter; Kohei Nakajima,,2020,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://ieeexplore.ieee.org/document/9341698/,10.1109/IROS45743.2020.9341698,Заблокировано,CCD camera-based tactile sensors provide high-resolution information about the deformation of soft and elastic interfaces. However; they have poor scalibility as it is difficult to sense a large surface area without increasing the distance between the camera and the interface or using multiple processing chips. For example; using such tactile sensors for a whole robotic arm is not yet possible. In this work; we demonstrate a data driven method that can reconstruct the high-resolution information about deformation of the soft interface while keeping the space requirements and power consumption relatively low. Our modified tactile sensor incorporates two independent sensing techniques; one low- and one high-resolution; and we learn to map to the latter from the former. As a low-resolution sensor; we use liquid-filled channels that transmit the information from the location of the tactile interaction to a rigid display; where the liquid displacements are tracked by a CCD camera. Simultaneously; the same interaction is measured by tracking the markers on the bottom of the sensor using a second CCD camera. After data collection; we train two different machine learning models to reconstruct the time series of the high-resolution sensor. By training a convolutional autoencoder (CAE) and attaching it to the recurrent neural network (RNN); we demonstrate the reconstruction of high-resolution video frames using only the time series of the low-resolution sensor.,9341698,ieee,IROS,conference
Context and Intention aware 3D Human Body Motion Prediction using an Attention Deep Learning model in Handover Tasks,Javier Laplaza; Francesc Moreno-Noguer; Alberto Sanfeliu,,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://ieeexplore.ieee.org/document/9981465/,10.1109/IROS47612.2022.9981465,Заблокировано,This work explores how contextual information and human intention affect the motion prediction of humans during a handover operation with a social robot. By classifying human intention in four different classes; we developed a model able to generate a different motion for each intention class. Furthermore; the model uses a multi-headed attention architecture to add contextual information to the pipeline; such as the position of the robot end effector (REE) or the position of obstacles in the interaction scene. We generate predictions up to two and half seconds in the future given an input sequence of one second containing the previous motion of the human. The results show an improvement of the prediction accuracy; both for the full skeleton prediction and the human hand used for the delivery. The model also allows to generate different sequences with the desired human intention.,9981465,ieee,IROS,conference
Semantic Scene Difference Detection in Daily Life Patroling by Mobile Robots Using Pre-Trained Large-Scale Vision-Language Model,Yoshiki Obinata; Kento Kawaharazuka; Naoaki Kanazawa; Naoya Yamaguchi; Naoto Tsukamoto; Iori Yanokura; Shingo Kitagawa; Koki Shinjo; Kei Okada; Masayuki Inaba,,2023,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://ieeexplore.ieee.org/document/10342467/,10.1109/IROS55552.2023.10342467,Заблокировано,It is important for daily life support robots to detect changes in their environment and perform tasks. In the field of anomaly detection in computer vision; probabilistic and deep learning methods have been used to calculate the image distance. These methods calculate distances by focusing on image pixels. In contrast; this study aims to detect semantic changes in the daily life environment using the current development of large-scale vision-language models. Using its Visual Question Answering (VQA) model; we propose a method to detect semantic changes by applying multiple questions to a reference image and a current image and obtaining answers in the form of sentences. Unlike deep learning-based methods in anomaly detection; this method does not require any training or fine-tuning; is not affected by noise; and is sensitive to semantic state changes in the real world. In our experiments; we demonstrated the effectiveness of this method by applying it to a patrol task in a real-life environment using a mobile robot; Fetch Mobile Manipulator. In the future; it may be possible to add explanatory power to changes in the daily life environment through spoken language.,10342467,ieee,IROS,conference
Ultra-Low Inertia 6-DOF Manipulator Arm for Touching the World,Kazutoshi Nishii; Akira Hatano; Yoshihiro Okumatsu,,2023,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://ieeexplore.ieee.org/document/10342445/,10.1109/IROS55552.2023.10342445,Заблокировано,As robotic intelligence increases; so does the im-portance of agents that collect data from real-world environments. When learning in contact with the environment; one must consider how to minimize the impact on the environment and maintain reproducibility. To achieve this; the contact force with the environment must be reduced. One way to achieve this is to reduce the inertia of the arm. In this study; we present an arm we have developed with 6 degrees of freedom and low inertia. The inertia of our arm has been significantly reduced compared to previous research; and experiments have confirmed that it also has low joint friction torque and good contact sensitivity.,10342445,ieee,IROS,conference
Tendon-Driven Continuum Robot for Deep-Sea Application,Cora Maria Sourkounis; Tom Kwasnitschka; Annika Raatz,,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),https://ieeexplore.ieee.org/document/10611177/,10.1109/ICRA57147.2024.10611177,Заблокировано,The extreme conditions of the deep sea require the use of large and expensive diving robots designed to withstand the high pressure in these depths. In order to reduce the costs for sediment sampling in the deep sea and thus facilitate the explorations of rare deep-sea ecosystems; the goal of this research is to design an alternative manipulator for deep-sea suction sampling. Instead of relying on heavy hydraulic rigid manipulators that deep-sea diving robots are commonly equipped with; we introduce a new concept for a lightweight actuation system that can be used in combination with a traditional diving robot and a suction sampling system. The proposed concept consists of a series of rigid links connected by angled swivel joints. Each segment is actuated by tendons; which allows for continuous bending. The system can be adapted to various sizes of host systems; and the links and joints are printed in place; simplifying the manufacturing process.,10611177,ieee,ICRA,conference
Neural Network Based Inverse Kinematics Solution for 6-R Robot Implement Using R Package Neuralnet,Yuqi Peng; Zhangyan Peng; Tonghan Lan,,2021,2021 5th International Conference on Robotics and Automation Sciences (ICRAS),https://ieeexplore.ieee.org/document/9476364/,10.1109/ICRAS52289.2021.9476364,Заблокировано,R packages neuralnet is used to calculate the inverse kinematics of the ABB IRB7600-500 robot 6-revolute jointed robot arm. This robot arm is required to move from a position to the desired position with a minimum error in the workspace. The commonly methods are not sufficient; it can not solve the complex kinematics problems of the redundant robotic manipulators. To overcome such complicated things; ANNs are used nowadays. Firstly we analyzed the kinematics of 6-DOF robotic arm; secondly quintic polynomials was applied in 6-DOF robotic arm trajectory planning. The network is trained using the input data and the performance plot; training state and regression plots are observed. In this training; Random rule divides the data where 70% data are assigned to training set; 30% data to test set.at the same times; theta error were obtained acceptable.,9476364,ieee,ICRA,conference
Intelligent Motion Control Method Based on Directional Drive for 3-DOF Robotic Arm,Hengyu Man; Niu Ge; Liangjun Xu,,2021,2021 5th International Conference on Robotics and Automation Sciences (ICRAS),https://ieeexplore.ieee.org/document/9476365/,10.1109/ICRAS52289.2021.9476365,Заблокировано,There are observations indicating that the primary motor cortex of the brain drives arm movement by encoding directional signals. In this study; we proposed an intelligent motion control method based on directional drive for target reaching task of robotic arms. Our proposed method focuses on simulating the control mechanism above by the direction-based reward function in reinforcement learning (RL). Specifically; this reward function was designed using the deviation between the actual motion direction and the expected direction of the robotic arm. Then; an intelligent motion control algorithm established by deep deterministic policy gradient (DDPG) was put forward to enable the end-effector of the robotic arm to reach the target automatically. Finally; our presented method was verified by simulations on 3-DOF robotic arm; and the success rate of target-reaching is around 90%. The experimental results show that our designed reward function effectively simulates the control mechanism of the brain.,9476365,ieee,ICRA,conference
Brain Computer Interface for Neurorehabilitation with Kinesthetic Feedback,Adithya K; Saurabh Jacob Kuruvila; Sarang Pramode; Niranjana Krupa,,2020,2020 5th International Conference on Robotics and Automation Engineering (ICRAE),https://ieeexplore.ieee.org/document/9310801/,10.1109/ICRAE50850.2020.9310801,Заблокировано,This study aims to record and translate the process of motor imagery to enable orthotic extension and flexion of the finger. This study probes the feasibility of developing a Brain Computer Interface system by prioritizing - Data Acquisition; Deep Learning; and End Effector of the system. The optimal channels to record MI data were deduced using Recursive Feature Elimination from a sixty four channel online dataset. Eight electrode channels of the OpenBCI Cyton kit were used; covering the sensorimotor cortex region of five subjects to record electroencephalographic data by following a standardized EEG acquisition protocol. Classification of tasks was carried out on a custom deep learning architecture using a convolutional layer and LSTM. The results were passed to an orthotic brace that provided a kinesthetic feedback mechanism to improve grip strength and support the neurorehabilitation of its user.,9310801,ieee,ICRA,conference
Learning Friction Model for Tethered Capsule Robot,Yi Wang; Yuchen He; Xutian Deng; Ziwei Lei; Yiting Chen; Miao Li,,2021,2021 6th International Conference on Robotics and Automation Engineering (ICRAE),https://ieeexplore.ieee.org/document/9657825/,10.1109/ICRAE53653.2021.9657825,Заблокировано,With the potential applications of capsule robots in medical endoscopy; accurate dynamic control of the capsule robot is becoming more and more important. In the scale of a capsule robot; the friction between capsule and the environment plays an essential role in the dynamic model; which is usually difficult to model beforehand. In the paper; a tethered capsule robot system driven by a robot manipulator is built; where a strong magnetic Halbach array is mounted on the robot's end-effector to adjust the state of the capsule. To increase the control accuracy; the friction between capsule and the environment is learned with demonstrated trajectories. With the learned friction model; experimental results demonstrate an improvement of 5.6% in terms of tracking error.,9657825,ieee,ICRA,conference
Variable Stiffness Control via External Torque Estimation Using LSTM,Jaesug Jung; Seungbin You; Donghyeon Kim; Jaeheung Park,,2022,2022 International Conference on Robotics and Automation (ICRA),https://ieeexplore.ieee.org/document/9811955/,10.1109/ICRA46639.2022.9811955,Заблокировано,Stable contact and safe responses to the collision have been studied to develop interactive robots such as service and collaborative robots. Stable and safe interactions are usually achieved through the inherent compliance of a motion controller with external torque estimation. However; a fixed control gain would sacrifice either compliance or position tracking performance. Additionally; external torque estimation is susceptible to model errors. In this study; a novel variable stiffness control approach is proposed to achieve a high position tracking performance in free motion and compliant behavior in the contact state. For this purpose; a precise estimation of the external torque and control gains that change based on the external torque are required. To estimate the external torque precisely; a collision detecting learning algorithm that uses long short-term memory (LSTM) is adopted. Although this method uses only proprioceptive sensors; its torque estimation capability is comparable to that of methods that use additional sensors. Then; the stiffness of a motion controller is adjusted based on the external torque in the stable region. Moreover; by adopting the Operational Space Formulation considering joint elasticity for a motion controller; high position tracking performance can be achieved with only proprioceptive sensors. The performance of the proposed method was validated through comparative experiments with two degrees of freedom (DoF) manipulator.,9811955,ieee,ICRA,conference
