title,authors,publication_year,conference_code,publication_title,pdf_url,access_status,source,publication_type,author_affiliations,doi
Scaling Cross-Embodied Learning: One Policy for Manipulation; Navigation; Locomotion and Aviation,Ria Doshi; Homer Rich Walke; Oier Mees; Sudeep Dasari; Sergey Levine,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/doshi25a/doshi25a.pdf,Открыто,corl,conference,,
Guided Reinforcement Learning for Robust Multi-Contact Loco-Manipulation,Jean Pierre Sleiman; Mayank Mittal; Marco Hutter,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/sleiman25a/sleiman25a.pdf,Открыто,corl,conference,,
Gentle Manipulation of Tree Branches: A Contact-Aware Policy Learning Approach,Jay Jacob; Shizhe Cai; Paulo Vinicius Koerich Borges; Tirthankar Bandyopadhyay; Fabio Ramos,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/jacob25a/jacob25a.pdf,Открыто,corl,conference,,
Robust Manipulation Primitive Learning via Domain Contraction,Teng Xue; Amirreza Razmjoo; Suhan Shetty; Sylvain Calinon,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/xue25a/xue25a.pdf,Открыто,corl,conference,,
ManiWAV: Learning Robot Manipulation from In-the-Wild Audio-Visual Data,Zeyi Liu; Cheng Chi; Eric Cousineau; Naveen Kuppuswamy; Benjamin Burchfiel; Shuran Song,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/liu25c/liu25c.pdf,Открыто,corl,conference,,
Learning Robotic Manipulation Policies from Point Clouds with Conditional Flow Matching,Eugenio Chisari; Nick Heppert; Max Argus; Tim Welschehold; Thomas Brox; Abhinav Valada,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/chisari25a/chisari25a.pdf,Открыто,corl,conference,,
Jacta: A Versatile Planner for Learning Dexterous and Whole-body Manipulation,Jan Bruedigam; Ali Adeeb Abbas; Maks Sorokin; Kuan Fang; Brandon Hung; Maya Guru; Stefan Georg Sosnowski; Jiuguang Wang; Sandra Hirche; Simon Le Cleac’h,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/bruedigam25a/bruedigam25a.pdf,Открыто,corl,conference,,
Generative Factor Chaining: Coordinated Manipulation with Diffusion-based Factor Graph,Utkarsh Aashu Mishra; Yongxin Chen; Danfei Xu,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/mishra25a/mishra25a.pdf,Открыто,corl,conference,,
SoftManiSim: A Fast Simulation Framework for Multi-Segment Continuum Manipulators Tailored for Robot Learning,Mohammadreza Kasaei; Hamidreza Kasaei; Mohsen Khadem,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/kasaei25a/kasaei25a.pdf,Открыто,corl,conference,,
Learning Visuotactile Estimation and Control for Non-prehensile Manipulation under Occlusions,Juan Del Aguila Ferrandis; Joao Moura; Sethu Vijayakumar,2024,CoRL,Conference on Robot Learning,https://raw.githubusercontent.com/mlresearch/v270/main/assets/ferrandis25a/ferrandis25a.pdf,Открыто,corl,conference,,
